0.00;0.00
108.30;400.00;400.00
108.40;400.00;400.00
108.50;400.00;400.00
108.60;400.00;400.00
108.70;400.00;400.00
108.80;400.00;400.00
108.90;400.00;400.00
109.00;400.00;400.00
109.10;400.00;400.00
109.20;400.00;400.00
109.30;400.00;400.00
109.40;400.00;400.00
109.50;400.00;400.00
109.60;400.00;400.00
109.70;400.00;400.00
109.80;400.00;400.00
109.90;400.00;400.00
110.00;400.00;400.00
110.10;400.00;400.00
110.20;400.00;400.00
110.30;400.00;400.00
110.40;400.00;400.00
110.50;400.00;400.00
110.60;400.00;400.00
110.70;400.00;400.00
110.80;400.00;400.00
110.90;400.00;400.00
111.00;400.00;400.00
111.10;400.00;400.00
111.20;400.00;400.00
111.30;400.00;400.00
111.40;400.00;400.00
111.50;400.00;400.00
111.60;400.00;400.00
111.70;400.00;400.00
111.80;400.00;400.00
111.90;400.00;400.00
112.00;400.00;400.00
112.10;400.00;400.00
112.20;400.00;400.00
112.30;400.00;400.00
112.40;400.00;400.00
112.50;400.00;400.00
112.60;400.00;400.00
112.70;400.00;400.00
112.80;400.00;400.00
112.90;400.00;400.00
113.00;400.00;400.00
113.10;400.00;400.00
113.20;400.00;400.00
113.30;400.00;400.00
113.40;400.00;400.00
113.50;400.00;400.00
113.60;400.00;400.00
113.70;400.00;400.00
113.80;400.00;400.00
113.90;400.00;400.00
114.00;400.00;400.00
114.10;400.00;400.00
114.20;400.00;400.00
114.30;400.00;400.00
114.40;400.00;400.00
114.50;400.00;400.00
114.60;400.00;400.00
114.70;400.00;400.00
114.80;400.00;400.00
114.90;400.00;400.00
115.00;400.00;400.00
115.10;400.00;400.00
115.20;400.00;400.00
115.30;400.00;400.00
115.40;400.00;400.00
115.50;400.00;400.00
115.60;400.00;400.00
115.70;400.00;400.00
115.80;400.00;400.00
115.90;400.00;400.00
116.00;400.00;400.00
116.10;400.00;400.00
116.20;400.00;400.00
116.30;400.00;400.00
